natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,cheng
The organisation may use email addresses to answer inquiries.,Organisation(O).,"EmailAddress(E), Inquiry(I).","has_inquiry(O, I) :- Organisation(O), Inquiry(I).","can_use_email(O, E, I) :- Organisation(O), EmailAddress(E), Inquiry(I), has_inquiry(O, I).","< can_use_email, (u_a, (""[has_inquiry]"", 1)) >"
He or she also can read the information about the distribution of options.,User(U).,DistributionInfo(DI).,"has_access_to(U, DI) :- User(U), DistributionInfo(DI).","can_read(U, DI) :- User(U), DistributionInfo(DI), has_access_to(U, DI).","< can_read, (u_a, (""[has_access_to]"", 1)) >"
The director can promote an employee to be a  manager.,Director(D).,Employee(E).,"is_director_of(D, E) :- Director(D), Employee(E).","can_promote(D, E) :- Director(D), Employee(E), is_director_of(D, E).","< can_promote, (u_a, (""[is_director_of]"", 1)) >"
"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.","Employee(E1), Employee(E2).",BonusInfo(B).,"has_advocate(E1, E2) :- Employee(E1), Employee(E2).","can_read(E2, B) :- Employee(E2), BonusInfo(B), has_advocate(E1, E2), owns_bonus_info(E1, B).","< can_read, (u_a, (""[has_advocate^{-1}.owns_bonus_info]"", 2)) >"
A professor can review the same project at most one time.,Professor(P).,Project(PR).,"has_reviewed(P, PR) :- Professor(P), Project(PR).","can_review(P, PR) :- Professor(P), Project(PR), not has_reviewed(P, PR).","< can_review, (u_a, ¬ (""[has_reviewed]"", 1)) >"
The PC chair appoints the PC members.,PC_Chair(C).,PC_Member(M).,"appoints(C, M) :- PC_Chair(C), PC_Member(M).","can_appoint(C, M) :- PC_Chair(C), PC_Member(M), appoints(C, M).","< can_appoint, (u_a, (""[appoints]"", 1)) >"
A PC member can resign his membership.,PC_Member(P).,Membership(M).,"has_membership(P, M) :- PC_Member(P), Membership(M).","can_resign(P, M) :- PC_Member(P), Membership(M), has_membership(P, M).","< can_resign, (u_a, (""[has_membership]"", 1)) >"
"The manager has the broadest access to the information, including access to personal, financial, clinical and medical information about each resident.",Manager(M).,"Resident(R), Information(I).","has_access_to(M, I) :- Manager(M), Information(I), is_about(I, R).","can_access(M, R, I) :- Manager(M), Resident(R), Information(I), is_about(I, R), has_access_to(M, I).","< can_access, (u_a, (""[has_access_to]"", 1)) >"
Only the manager is allowed to delete the information about a resident but here also that right is restricted.,Manager(M).,"Resident(R), ResidentInfo(RI).","manages(M, R) :- Manager(M), Resident(R).","can_delete(M, RI) :- Manager(M), ResidentInfo(RI), manages(M, R), associated_with(RI, R).","< can_delete, (u_a, (""[manages.associated_with^{-1}]"", 2)) >"
"For a special purpose, access to an older medical record can be sought and obtained from the manager.","User(U), Manager(M).",MedicalRecord(MR).,is_older(MR) :- MedicalRecord(MR).,"can_access(U, MR) :- User(U), MedicalRecord(MR), is_older(MR), Manager(M), has_permission(M, U, MR).","< can_access, (u_a, (""[has_permission^{-1}.has_permission]"", 2)) >"
"Occasionally, due to pressing circumstances, it may be necessary for a visiting doctor to examine a resident who is not normally his or her patient.","Doctor(D), Resident(R).",Resident(R).,"is_patient_of(R, D) :- Resident(R), Doctor(D).","can_examine(D, R) :- Doctor(D), Resident(R), pressing_circumstances(), not is_patient_of(R, D).","< can_examine, (u_a, ¬ (""[is_patient_of^{-1}]"", 1)) >"
"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",Person(P).,Information(I).,"has_information(P, I) :- Person(P), Information(I).","can_access(P, I) :- Person(P), Information(I), has_information(P, I), not jeopardises_third_party(I).","< can_access, (u_a, (""[has_information]"", 1)) >"
Only Doctors and Nurses can read patient records.,"Doctor(D), Nurse(N).",PatientRecord(PR).,"has_access(D, PR) :- Doctor(D), PatientRecord(PR). has_access(N, PR) :- Nurse(N), PatientRecord(PR).","can_read(S, PR) :- has_access(S, PR).","< can_read, (u_a, (""[has_access]"", 1)) >"
"A person, identified by his or her patient number, may read any record for which he or she is the designated patient.",Person(P).,Record(R).,"designated_patient(P, R) :- Person(P), Record(R).","can_read(P, R) :- Person(P), Record(R), designated_patient(P, R).","< can_read, (u_a, (""[designated_patient]"", 1)) >"
"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",Physician(P).,MedicalElement(ME).,"is_primary_care_physician(P, ME) :- Physician(P), MedicalElement(ME).","can_write(P, ME) :- Physician(P), MedicalElement(ME), is_primary_care_physician(P, ME), email_sent_to_patient(ME).","< can_write, (u_a, (""[is_primary_care_physician]"", 1)) >"
"Owners can access their account, move funds, and review transactions.",Owner(O).,"Account(A), Funds(F), Transaction(T).","owns(O, A) :- Owner(O), Account(A).","can_access(O, A) :- Owner(O), Account(A), owns(O, A). can_move_funds(O, F) :- Owner(O), Funds(F), owns(O, A). can_review_transactions(O, T) :- Owner(O), Transaction(T), owns(O, A).","< can_access, (u_a, (""[owns]"", 1)) >"
Payers can use the site's bill paying function .,Payer(P).,BillPayingFunction(B).,"has_access(P, B) :- Payer(P), BillPayingFunction(B).","can_use(P, B) :- Payer(P), BillPayingFunction(B), has_access(P, B).","< can_use, (u_a, (""[has_access]"", 1)) >"
Data Owners can transfer ownership of information to other users.,"DataOwner(DO), User(U).",Information(I).,"owns(DO, I) :- DataOwner(DO), Information(I).","can_transfer(DO, U, I) :- DataOwner(DO), User(U), Information(I), owns(DO, I).","< can_transfer, (u_a, (""[owns]"", 1)) >"
"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",User(U).,Information(I).,"has_access(U, I) :- User(U), Information(I).","can_determine_characteristics(U, I) :- User(U), Information(I), has_access(U, I).","< can_determine_characteristics, (u_a, (""[has_access]"", 1)) >"
All users can read from a lower classification than the one they are granted (A secret user can read an unclassified document).,User(U).,Document(D).,"has_classification(U, UC) :- User(U), Classification(UC).
has_classification(D, DC) :- Document(D), Classification(DC).
lower_classification(DC, UC) :- Classification(DC), Classification(UC), DC < UC.","can_read(U, D) :- User(U), Document(D), has_classification(U, UC), has_classification(D, DC), lower_classification(DC, UC).","< can_read, (u_a, (""[has_classification.lower_classification^{-1}.has_classification^{-1}]"", 3)) >"
All users are given read or write access to objects only of the same classification (a secret user can only read or write to a secret document).,User(U).,Object(O).,"has_classification(U, C) :- User(U), Classification(C).
has_classification(O, C) :- Object(O), Classification(C).","can_read(U, O) :- User(U), Object(O), has_classification(U, C), has_classification(O, C).
can_write(U, O) :- User(U), Object(O), has_classification(U, C), has_classification(O, C).","< can_read, (u_a, (""[has_classification.has_classification^{-1}]"", 2)) >
< can_write, (u_a, (""[has_classification.has_classification^{-1}]"", 2)) >"
Owners can read Name.,Owner(O).,Name(N).,"owns(O, N) :- Owner(O), Name(N).","can_read(O, N) :- Owner(O), Name(N), owns(O, N).","< can_read, (u_a, (""[owns]"", 1)) >"
"During the submission phase, an author may submit a paper.",Author(A).,Paper(P).,"is_author_of(A, P) :- Author(A), Paper(P).","can_submit(A, P) :- Author(A), Paper(P), is_author_of(A, P).","< can_submit, (u_a, (""[is_author_of]"", 1)) >"
"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",Reviewer(R).,Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P).","can_submit_review(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P).","< can_submit_review, (u_a, (""[assigned_to]"", 1)) >"
"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",Reviewer(R).,Paper(P).,"submitted_review(R, P) :- Reviewer(R), Paper(P).","can_read_scores(R, P) :- Reviewer(R), Paper(P), submitted_review(R, P).","< can_read_scores, (u_a, (""[submitted_review]"", 1)) >"
"In the current paper system, all the information stored about a resident is accessible to the resident by arrangement with the manager.","Resident(R), Manager(M).",Information(I).,"has_access(R, I) :- Resident(R), Information(I), Manager(M).","can_access(R, I) :- Resident(R), Information(I), has_access(R, I).","< can_access, (u_a, (""[has_access]"", 1)) >"
A subject cannot review a project he or she has submitted.,Subject(S).,Project(P).,"has_submitted(S, P) :- Subject(S), Project(P).","can_review(S, P) :- Subject(S), Project(P), not has_submitted(S, P).","< can_review, (u_a, ¬ (""[has_submitted]"", 1)) >"
A subject cannot approve projects he or she has reviewed or submitted.,Subject(S).,Project(P).,"has_reviewed(S, P) :- Subject(S), Project(P).
has_submitted(S, P) :- Subject(S), Project(P).","can_approve(S, P) :- Subject(S), Project(P), not has_reviewed(S, P), not has_submitted(S, P).","< can_approve, (u_a, ¬ (""[has_reviewed]"", 1) ∧ ¬ (""[has_submitted]"", 1)) >"
"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.","Reviewer(R), SubReviewer(S).",Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P). appointed_subreviewer(R, P, S) :- Reviewer(R), Paper(P), SubReviewer(S).","can_resign(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P), not appointed_subreviewer(R, P, _).","< can_resign, (u_a, (""[assigned_to]"", 1) ∧ ¬ (""[appointed_subreviewer]"", 1)) >"
In an electronic system we can allow residents to hook into the network at any time as long as they can view only their own data and cannot make arbitrary changes.,Resident(R).,Data(D).,"owns(R, D) :- Resident(R), Data(D).","can_view(R, D) :- Resident(R), Data(D), owns(R, D).
can_modify(R, D) :- false.","< can_view, (u_a, (""[owns]"", 1)) >"
"If someone is not a pc-chair or admin, then he or she can never see paper-review-rc for which he or she is conflicted.",Person(P).,PaperReviewRC(PR).,"is_pc_chair(P) :- Person(P).
is_admin(P) :- Person(P).
is_conflicted(P, PR) :- Person(P), PaperReviewRC(PR).","can_see(P, PR) :- Person(P), PaperReviewRC(PR), (is_pc_chair(P) ; is_admin(P)), not is_conflicted(P, PR).
can_see(P, PR) :- Person(P), PaperReviewRC(PR), not is_pc_chair(P), not is_admin(P), not is_conflicted(P, PR).","< can_see, (u_a, ¬ (""[is_conflicted]"", 1)) >
< can_see, (u_a, ¬ (""[is_conflicted]"", 1)) >"
Their main form of access is to add progress note entries based on their observations.,User(U).,ProgressNote(PN).,"has_observation(U, PN) :- User(U), ProgressNote(PN).","can_add(U, PN) :- User(U), ProgressNote(PN), has_observation(U, PN).","< can_add, (u_a, (""[has_observation]"", 1)) >"
