natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,fong
"To support reviewers with making choices, CyberChair provides them with several webpages containing overviews of  the submitted abstracts.",Reviewer(R).,"Webpage(W), Abstract(A).","has_access(R, W) :- Reviewer(R), Webpage(W).","can_view(R, W, A) :- Reviewer(R), Webpage(W), Abstract(A), has_access(R, W).",(Reviewer ∧ <has_access>((Webpage ∧ owner)))
CyberChair generates a paper distribution proposal for the PCC.,CyberChair(C).,"Paper(P), PCC(PC).","generates_proposal(C, P, PC) :- CyberChair(C), Paper(P), PCC(PC).","can_generate(C, P, PC) :- CyberChair(C), Paper(P), PCC(PC), generates_proposal(C, P, PC).",CyberChair
"As soon as the full paper deadline has passed, the papers can be assigned to the reviewers.","Reviewer(R), Paper(P).",Deadline(D).,deadline_passed(D) :- Deadline(D).,"can_assign(P, R) :- Paper(P), Reviewer(R), deadline_passed(D).",Paper
"In step 2, the full paper must be submitted by uploading it.",Author(A).,Paper(P).,"has_author(P, A) :- Paper(P), Author(A).","can_submit(A, P) :- Author(A), Paper(P), has_author(P, A).",(Author ∧ <-has_author>((Paper ∧ owner)))
"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",ProgramChair(PC).,"Submission(S), Review(R).","has_progress(PC, S, R) :- ProgramChair(PC), Submission(S), Review(R).","can_watch_progress(PC, S, R) :- ProgramChair(PC), Submission(S), Review(R), has_progress(PC, S, R).",ProgramChair
"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",Author(A).,"Abstract(AB), Paper(P).","submitted_abstract(A, AB, TimeAB) :- Author(A), Abstract(AB). submitted_paper(A, P, TimeP) :- Author(A), Paper(P).","can_submit_paper(A, P) :- Author(A), Paper(P), submitted_abstract(A, AB, TimeAB), submitted_paper(A, P, TimeP), TimeAB <= TimeP - 7 days.",Author
"Usually, people are allowed to send their submission by email.",Person(P).,"Submission(S), Email(E).","has_submission(P, S) :- Person(P), Submission(S).","can_send(P, S, E) :- Person(P), Submission(S), Email(E), has_submission(P, S).",(Person ∧ <has_submission>((Submission ∧ owner)))
"Reviewers can indicate whether they are an expert on the topic (X), no expert, but knowledgable in the subject area (Y), or an informed outsider (Z).",Reviewer(R).,Topic(T).,"is_expert_on(R, T) :- Reviewer(R), Topic(T).
knowledgable_in(R, T) :- Reviewer(R), Topic(T).
informed_outsider_on(R, T) :- Reviewer(R), Topic(T).","can_indicate(R, T, X) :- Reviewer(R), Topic(T), is_expert_on(R, T).
can_indicate(R, T, Y) :- Reviewer(R), Topic(T), knowledgable_in(R, T).
can_indicate(R, T, Z) :- Reviewer(R), Topic(T), informed_outsider_on(R, T).",Reviewer
Downloading of papers by the reviewers can start as soon as papers are submitted.,Reviewer(R).,Paper(P).,submitted(P) :- Paper(P).,"can_download(R, P) :- Reviewer(R), Paper(P), submitted(P).",Reviewer
"The current implementation collects the preferences (bids), expertise levels and willingness to review papers on certain topics and the conflicts of interest of the reviewers.",Reviewer(R).,"Paper(P), Topic(T).","has_preference(R, P) :- Reviewer(R), Paper(P).
has_expertise(R, T) :- Reviewer(R), Topic(T).
willing_to_review(R, T) :- Reviewer(R), Topic(T).
has_conflict(R, P) :- Reviewer(R), Paper(P).","collects_data(R, P, T) :- Reviewer(R), Paper(P), Topic(T), has_preference(R, P), has_expertise(R, T), willing_to_review(R, T), not has_conflict(R, P).",(Reviewer ∧ ¬<has_conflict>T ∧ <has_preference>((Paper ∧ owner)) ∧ <has_expertise>(Topic) ∧ <willing_to_review>(Topic))
"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",Author(A).,"Paper(P), ConferenceTopic(T).","submits(A, P) :- Author(A), Paper(P). covers_topic(P, T) :- Paper(P), ConferenceTopic(T).","can_fill_form(A, P) :- Author(A), Paper(P), submits(A, P).",(Author ∧ <submits>((Paper ∧ owner)))
"In case there are less than 4 reviewers, this process is repeated with the list of reviewers who indicated a low preference for the paper.",Reviewer(R).,Paper(P).,"has_low_preference(R, P) :- Reviewer(R), Paper(P).","repeat_process_with_low_preference(P) :- Paper(P), count_reviewers(P, Count), Count < 4, has_low_preference(R, P).",(Paper ∧ <count_reviewers>(Count < 4) ∧ <-has_low_preference>(T))
"The level of agreement among reviewers is indicated on each reviewer's personal page, using a coloring scheme.",Reviewer(R).,Page(P).,"has_personal_page(R, P) :- Reviewer(R), Page(P).","indicates_agreement(R, P) :- Reviewer(R), Page(P), has_personal_page(R, P).",(Reviewer ∧ <has_personal_page>((Page ∧ owner)))
"After the meeting, the reviewers’ comments are sent back to the authors, so that they can improve their paper.","Author(A), Reviewer(R).","Paper(P), Comment(C).","has_comment(P, C) :- Paper(P), Comment(C).","can_receive_comment(A, P, C) :- Author(A), Paper(P), Comment(C), has_comment(P, C).",Author
The review process can be monitored by the chair.,Chair(C).,ReviewProcess(RP).,"can_monitor(C, RP) :- Chair(C), ReviewProcess(RP).","monitor(C, RP) :- can_monitor(C, RP).",<can_monitor>(owner)
His or her personal webpage will then be updated automatically.,User(U).,Webpage(W).,"has_webpage(U, W) :- User(U), Webpage(W).","can_update_webpage(U, W) :- User(U), Webpage(W), has_webpage(U, W).",(User ∧ <has_webpage>((Webpage ∧ owner)))
"For each paper that a reviewer would like to review, the corresponding checkbox in the left part of the window should be marked.",Reviewer(R).,Paper(P).,"wants_to_review(R, P) :- Reviewer(R), Paper(P).","mark_checkbox(R, P) :- Reviewer(R), Paper(P), wants_to_review(R, P).",(Reviewer ∧ <wants_to_review>((Paper ∧ owner)))
Other reasons are that authors are forced to use it to submit their paper.,Author(A).,Paper(P).,"forced_to_submit(A, P) :- Author(A), Paper(P).","can_submit(A, P) :- Author(A), Paper(P), forced_to_submit(A, P).",(Author ∧ <forced_to_submit>((Paper ∧ owner)))
"You may also want to take a look at 2 posters: an overview (, 140 Kb) and a picture containing screenshots (, 1.71 Mb).",User(U).,Poster(PO).,"has_access(U, PO) :- User(U), Poster(PO).","can_view(U, PO) :- User(U), Poster(PO), has_access(U, PO).",(User ∧ <has_access>((Poster ∧ owner)))
It generates several overviews based on the reviews which support the Program Committee (PC) in selecting the best papers.,"ProgramCommittee(PC), Reviewer(R), Paper(P).","Overview(O), Review(Rev).","has_review(P, Rev) :- Paper(P), Review(Rev). generates_overview(PC, O) :- ProgramCommittee(PC), Overview(O). supports_selection(PC, P) :- ProgramCommittee(PC), Paper(P).","can_select_best(PC, P) :- ProgramCommittee(PC), Paper(P), supports_selection(PC, P).",(ProgramCommittee ∧ <supports_selection>((Paper ∧ owner)))
"This is used to discover papers that have only been reviewed by non-experts, so that the PCC may ask another reviewer to review the paper.","PCC(P), Reviewer(R).",Paper(PA).,"reviewed_by(PA, R) :- Paper(PA), Reviewer(R). is_expert(R) :- Reviewer(R).","discover_paper(P, PA) :- PCC(P), Paper(PA), not exists R (reviewed_by(PA, R), is_expert(R)). ask_review(P, PA, R2) :- PCC(P), Paper(PA), Reviewer(R2), discover_paper(P, PA).",PCC
These overviews are currently updated at 5 minutes before the hour.,User(U).,Overview(O).,"updated_at(O, T) :- Overview(O), Time(T), T = '5 minutes before the hour'.","can_view(U, O) :- User(U), Overview(O), updated_at(O, T).",User
"After the PC meeting, the PCC must inform the maintainer about the accepted papers, so that the notifications can be sent to the authors.","PCC(PCC), Maintainer(M), Author(A).","Paper(PA), Meeting(MT).","has_accepted_paper(MT, PA) :- Meeting(MT), Paper(PA).","can_inform(PCC, M, PA) :- PCC(PCC), Maintainer(M), Paper(PA), Meeting(MT), has_accepted_paper(MT, PA).",PCC
Authors can submit their abstracts and papers using the web (uploading).,Author(A).,"Abstract(AB), Paper(P).","has_abstract(A, AB) :- Author(A), Abstract(AB). has_paper(A, P) :- Author(A), Paper(P).","can_submit(A, AB, P) :- Author(A), Abstract(AB), Paper(P), has_abstract(A, AB), has_paper(A, P).",(Author ∧ <has_abstract>((Abstract ∧ owner)) ∧ <has_paper>(Paper))
"After the program committee meeting has taken place, and papers have been selected, the (anonymous) comments can be automatically sent to the authors.","ProgramCommittee(PC), Author(A).","Paper(P), Comment(C).","selected_paper(P) :- Paper(P). has_comment(P, C) :- Paper(P), Comment(C). authored_by(P, A) :- Paper(P), Author(A).","can_send_comment(PC, A, C) :- ProgramCommittee(PC), Author(A), Comment(C), Paper(P), selected_paper(P), has_comment(P, C), authored_by(P, A).",ProgramCommittee
"Further, it allows reviewers to learn about each other’s opinions, which provides means for good preparation for the PC meeting.","Reviewer(R1), Reviewer(R2).",Opinion(O).,"has_opinion(R1, O) :- Reviewer(R1), Opinion(O).","can_learn_opinion(R1, R2, O) :- Reviewer(R1), Reviewer(R2), Opinion(O), has_opinion(R2, O).",Reviewer
The authors must use the login and password combination sent after phase 1.,Author(A).,"Login(L), Password(PW), Phase1(P1).","sent_after_phase1(L, PW, P1) :- Login(L), Password(PW), Phase1(P1).","must_use(A, L, PW) :- Author(A), Login(L), Password(PW), sent_after_phase1(L, PW, P1).",Author
"Reviews can either be submitted via a webpage, or filled in off-line and emailed.",User(U).,Review(R).,"submitted_via_webpage(U, R) :- User(U), Review(R). submitted_via_email(U, R) :- User(U), Review(R).","can_submit_review(U, R) :- User(U), Review(R), (submitted_via_webpage(U, R); submitted_via_email(U, R)).",User
"To be able to protect the reviews from outsiders, each reviewer gets his or her own directory on the webserver.",Reviewer(R).,"Directory(D), Review(REV).","has_directory(R, D) :- Reviewer(R), Directory(D).","can_access(R, REV) :- Reviewer(R), Review(REV), has_directory(R, D), associated(REV, D).",(Reviewer ∧ <has_directory>(<-associated>((Review ∧ owner))))
"Following Nierstrasz’s pattern Make Champions Explicit , the reviewers are asked to fill in the classification of papers on the review form.",Reviewer(R).,"Paper(P), ReviewForm(F).","assigned_to(R, P) :- Reviewer(R), Paper(P).","can_classify(R, P, F) :- Reviewer(R), Paper(P), ReviewForm(F), assigned_to(R, P).",(Reviewer ∧ <assigned_to>((Paper ∧ owner)))
"When a reviewer reaches this maximum, he or she will not be part of the preference lists, because apparently his or her expertise is needed to review ’less popular’ papers.","Reviewer(R), Paper(P).",PreferenceList(L).,"assigned_reviews(R, P) :- Reviewer(R), Paper(P).","can_be_in_preference_list(R, L) :- Reviewer(R), PreferenceList(L), not max_reviews_reached(R). max_reviews_reached(R) :- Reviewer(R), count(assigned_reviews(R, _)) >= MAX_REVIEWS.",Reviewer
"Further, a high or low priority should be chosen, to indicate how eager they are to review the paper.",Reviewer(R).,Paper(P).,"has_priority(R, P, Priority) :- Reviewer(R), Paper(P), Priority in {high, low}.","can_assign_review(R, P) :- Reviewer(R), Paper(P), has_priority(R, P, Priority).",Reviewer
The submitted bids are accumulated.,Bidder(B).,Bid(BD).,"submitted(B, BD) :- Bidder(B), Bid(BD).","accumulated_bids(BD) :- Bid(BD), submitted(B, BD).",(Bid ∧ <-submitted>(T))
The 4 reviewers with the least number of papers assigned so far ’get’ the paper.,Reviewer(R).,Paper(P).,"assigned_papers(R, Count) :- Reviewer(R), Count = count(Paper(P), assigned(R, P)).","assign_paper(R, P) :- Reviewer(R), Paper(P), assigned_papers(R, Count_R), not exists Reviewer(R2) (assigned_papers(R2, Count_R2), Count_R2 < Count_R and count(Reviewer(R3) (assigned_papers(R3, Count_R3), Count_R3 < Count_R) < 4).",(Reviewer ∧ <assigned_papers>(T))
"In case the ’expertise-value’ is equal, the reviewer with the least number of papers assigned so far ’gets’ the paper.","Reviewer(R1), Reviewer(R2), Paper(P).",Paper(P).,"has_expertise(R1, EV1) :- Reviewer(R1), ExpertiseValue(EV1). has_expertise(R2, EV2) :- Reviewer(R2), ExpertiseValue(EV2). papers_assigned(R1, Count1) :- Reviewer(R1), Count(Count1). papers_assigned(R2, Count2) :- Reviewer(R2), Count(Count2).","can_assign_paper(R1, P) :- Reviewer(R1), Paper(P), has_expertise(R1, EV1), has_expertise(R2, EV2), EV1 = EV2, papers_assigned(R1, Count1), papers_assigned(R2, Count2), Count1 < Count2, not exists(R3) (Reviewer(R3), has_expertise(R3, EV3), EV3 = EV1, papers_assigned(R3, Count3), Count3 < Count1).",(Reviewer ∧ <has_expertise>(EV1 = EV2) ∧ <papers_assigned>(Count1 < Count2))
These overviews can be printed in case reviewers want to read the abstracts offline.,Reviewer(R).,Overview(O).,"wants_to_read_offline(R, O) :- Reviewer(R), Overview(O).","can_print(R, O) :- Reviewer(R), Overview(O), wants_to_read_offline(R, O).",(Reviewer ∧ <wants_to_read_offline>((Overview ∧ owner)))
"All review files a reviewer needs, such as the review form and other reviewers’ reviews, are written in the reviewer’s directory.",Reviewer(R).,ReviewFile(F).,"has_directory(R, D) :- Reviewer(R), Directory(D).
contains_file(D, F) :- Directory(D), ReviewFile(F).","can_access(R, F) :- Reviewer(R), ReviewFile(F), has_directory(R, D), contains_file(D, F).",(Reviewer ∧ <has_directory>(<contains_file>((ReviewFile ∧ owner))))
"CyberChair supports preparation of the proceedings by generating the table of contents and author index, based on the input of the authors.","Author(A), System(S).","Proceedings(P), TableOfContents(T), AuthorIndex(I).","has_input(A, P) :- Author(A), Proceedings(P).","can_generate(S, P, T) :- System(S), Proceedings(P), TableOfContents(T), has_input(A, P). can_generate(S, P, I) :- System(S), Proceedings(P), AuthorIndex(I), has_input(A, P).",System
Authors must submit their paper in two steps.,Author(A).,Paper(P).,"has_paper(A, P) :- Author(A), Paper(P).","can_submit_step1(A, P) :- Author(A), Paper(P), has_paper(A, P). can_submit_step2(A, P) :- Author(A), Paper(P), has_paper(A, P), can_submit_step1(A, P).",Author
"Finally, after the camera-ready papers have been submitted, the proceedings must be prepared by the maintainer by entering the conference sessions and the numbers of the papers within those sections in a specific template file.",Maintainer(M).,"Paper(P), Session(S), TemplateFile(T).","submitted(P) :- Paper(P).
part_of(P, S) :- Paper(P), Session(S).
has_template(S, T) :- Session(S), TemplateFile(T).","can_prepare_proceedings(M, S, P, T) :- Maintainer(M), Paper(P), Session(S), TemplateFile(T), submitted(P), part_of(P, S), has_template(S, T).",Maintainer
The reviewer can be added to the list of reviewers for that paper.,"Reviewer(R), Editor(E).",Paper(P).,"can_add_reviewer(E, R, P) :- Editor(E), Reviewer(R), Paper(P).","add_reviewer(E, R, P) :- can_add_reviewer(E, R, P).",T
The pages of the reviewers are generated once by the maintainer when the paper distribution has been done.,"Maintainer(M), Reviewer(R).","Paper(P), Page(PA).","distributed(P, R) :- Paper(P), Reviewer(R). generated_page(PA, R) :- Page(PA), Reviewer(R), Maintainer(M), distributed(P, R).","can_generate(M, PA, R) :- Maintainer(M), Page(PA), Reviewer(R), distributed(P, R), not generated_page(PA, R).",Maintainer
"Based on the preferences and the reviewers' expertise, CyberChair calculates a paper assignment proposal for the chair, where as many as possible preferences of the reviewers are honored, provided that all papers are assigned to an equal number of reviewers (so also the papers that did not get any preferences), and all reviewers are assigned as much as possible an equal number of papers.","Chair(C), Reviewer(R), Paper(P).",AssignmentProposal(A).,"has_preference(R, P) :- Reviewer(R), Paper(P).
has_expertise(R, P) :- Reviewer(R), Paper(P).
assigned_to(P, R) :- Paper(P), Reviewer(R).","calculate_assignment(C, A) :- Chair(C), AssignmentProposal(A), forall P (Paper(P) -> count(R, assigned_to(P, R)) = N), forall R (Reviewer(R) -> count(P, assigned_to(P, R)) = M), maximize(sum(R, P, has_preference(R, P) and assigned_to(P, R))).",Chair
"In case a reviewer has already submitted a review of the selected paper, hyperlinks to the reviews of the other reviewers are shown, so that the reviewer can read their opinion.","Reviewer(R), Paper(P).",Review(REV).,"has_submitted(R, P, REV) :- Reviewer(R), Paper(P), Review(REV).","can_view_other_reviews(R, P) :- Reviewer(R), Paper(P), has_submitted(R, P, REV), not (Reviewer(R2), has_submitted(R2, P, REV2), R2 != R).",Reviewer
"When all submissions have arrived, suitable members of the Program Committee (PC) must be selected to review each paper.","PC_Member(M), Paper(P).",Submission(S).,"submission_arrived(S) :- Submission(S). all_submissions_arrived :- forall S (Submission(S) -> submission_arrived(S)). suitable_reviewer(M, P) :- PC_Member(M), Paper(P).","assign_reviewer(M, P) :- PC_Member(M), Paper(P), all_submissions_arrived, suitable_reviewer(M, P).",(PC_Member ∧ <suitable_reviewer>((Paper ∧ owner)))
Reviewers are also asked to inform the maintainer of papers they do not want to review because of a conflict of interest.,"Reviewer(R), Maintainer(M).",Paper(P).,"has_conflict(R, P) :- Reviewer(R), Paper(P).","should_inform(R, M, P) :- Reviewer(R), Maintainer(M), Paper(P), has_conflict(R, P).",(Reviewer ∧ <has_conflict>(Paper))
The state is based on the classification given to papers by the reviewers.,Reviewer(R).,Paper(P).,"classified_as(P, Classification) :- Paper(P), Reviewer(R).","state_based_on(P, Classification) :- Paper(P), Reviewer(R), classified_as(P, Classification).",(Paper ∧ <classified_as>(owner))
"CyberChair provides direct reflection on submitted reviews (for easy comparison with the other reviewers' opinions), without the maintainer's interference.","Reviewer(R), Maintainer(M).",Review(Rev).,"submitted_review(R, Rev) :- Reviewer(R), Review(Rev).","can_view_reviews(R1, Rev) :- Reviewer(R1), Review(Rev), submitted_review(R2, Rev), Reviewer(R2), R1 != R2, not interfered_by_maintainer(Rev). interfered_by_maintainer(Rev) :- Maintainer(M), Review(Rev).",(Reviewer ∧ R1 != R2)
A copy of the message is sent to the PCC.,"Sender(S), PCC(P).",Message(M).,"sent_copy(S, M, P) :- Sender(S), Message(M), PCC(P).","can_send_copy(S, M, P) :- Sender(S), Message(M), PCC(P).",Sender
"As soon as the reviewer has submitted his or her review, the review will be the default to be displayed in this frame when the reviewer clicks on the paper number in the top frame.",Reviewer(R).,"Paper(P), Review(Rev).","submitted_review(R, P, Rev) :- Reviewer(R), Paper(P), Review(Rev).","can_display_default(R, P, Rev) :- Reviewer(R), Paper(P), Review(Rev), submitted_review(R, P, Rev).",Reviewer
The reviewers’ reviews are compared to the other reviews to detect conflicts.,"Reviewer(R), Review(Rev).",Review(Rev).,"has_review(R, Rev) :- Reviewer(R), Review(Rev).","detect_conflict(Rev1, Rev2) :- Review(Rev1), Review(Rev2), has_review(R1, Rev1), has_review(R2, Rev2), R1 != R2, Rev1 != Rev2.",(Review ∧ Rev1 != Rev2 ∧ <-has_review>(R1 != R2))
"This list is sorted, based on the number of papers the reviewers have already been assigned so far.",Reviewer(R).,Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P).","sorted_list(R) :- Reviewer(R), count_assigned(R, N). count_assigned(R, N) :- Reviewer(R), N = count(P) : assigned_to(R, P).",Reviewer
"Moreover, since we chose to regenerate the state of all papers displayed on the reviewer’s webpage every 5 minutes, this would make it almost impossible for reviewers to enter a review form.",Reviewer(R).,"Paper(P), ReviewForm(F).","assigned_to(R, P) :- Reviewer(R), Paper(P).","can_access_review_form(R, F) :- Reviewer(R), ReviewForm(F), assigned_to(R, P), not page_regenerated(R, P).",(Reviewer ∧ ¬<page_regenerated>T ∧ <assigned_to>(T))
"Following the patterns Experts Review Papers and Champions Review Papers , papers should be matched to domain experts in the PC.","Paper(P), Expert(E), PC_Member(PC).",Paper(P).,"is_domain_expert(E, P) :- Expert(E), Paper(P).","can_match_paper_to_expert(PC, P, E) :- PC_Member(PC), Paper(P), Expert(E), is_domain_expert(E, P).",PC_Member
"It helps the PC to select the best papers for the conference, which makes it a group decision support system.","PC_Member(PM), Conference(C).",Paper(P).,"is_member_of(PM, C) :- PC_Member(PM), Conference(C).","can_select(PM, P, C) :- PC_Member(PM), Paper(P), Conference(C), is_member_of(PM, C).",(PC_Member ∧ <is_member_of>(Conference))
"In case not enough reviewers can be found to review a paper, this is an indication that the script should be better tuned.","Reviewer(R), Paper(P).",Script(S).,"assigned_to_review(R, P) :- Reviewer(R), Paper(P).","needs_tuning(S) :- Paper(P), Script(S), count_reviewers(P, Count), Count < required_reviewers(P).",Script
"To avoid 'pollution' of the demo data, uploading of files has been blocked.",User(U).,"File(F), DemoData(D).",is_demo_data(D) :- DemoData(D).,"can_upload(U, F) :- User(U), File(F), not is_demo_data(F).",User
The reviewers are asked to indicated their expertise of the conference topics and their willingness to review papers on those topics.,Reviewer(R).,"Topic(T), Paper(P).","has_expertise(R, T) :- Reviewer(R), Topic(T).
willing_to_review(R, T) :- Reviewer(R), Topic(T).","can_review(R, P) :- Reviewer(R), Paper(P), Topic(T), has_expertise(R, T), willing_to_review(R, T).",(Reviewer ∧ <has_expertise>(Topic) ∧ <willing_to_review>(Topic))
You will see a list of overviews that are available to the chair.,Chair(C).,Overview(O).,"available_to(C, O) :- Chair(C), Overview(O).","can_view(C, O) :- Chair(C), Overview(O), available_to(C, O).",(Chair ∧ <available_to>((Overview ∧ owner)))
"For each paper, a list of the reviewers who indicated a high preference for the paper is generated.","Reviewer(R), Paper(P).",Paper(P).,"high_preference(R, P) :- Reviewer(R), Paper(P).","generate_list(P, R) :- Paper(P), Reviewer(R), high_preference(R, P).",(Paper ∧ <-high_preference>((Reviewer ∧ owner)))
