natural_language_statements,datalog_subjects,datalog_objects,datalog_relationships,datalog_actions,fong
"After the review process, the authors of submitted papers should submit a camera-ready version of their paper, analogous to step 2.","Author(A), Paper(P).",CameraReadyVersion(CRV).,"submitted(A, P) :- Author(A), Paper(P).","can_submit_camera_ready(A, P, CRV) :- Author(A), Paper(P), CameraReadyVersion(CRV), submitted(A, P).",(Author ∧ <submitted>((Paper ∧ owner)))
"Each time the reviewer clicks on a paper number in the top frame, CyberChair checks if the reviewer has already submitted his or her review.","Reviewer(R), CyberChair(C).",Paper(P).,"has_submitted_review(R, P) :- Reviewer(R), Paper(P).","can_access_paper(R, P) :- Reviewer(R), Paper(P), CyberChair(C), not has_submitted_review(R, P).",(Reviewer ∧ ¬<has_submitted_review>T)
"CyberChair is composed of a set of Common Gateway Interface (CGI) scripts, which are activated by the webforms that are used by the authors and reviewers.","Author(A), Reviewer(R).","CGI_Script(S), Webform(W).","activates(W, S) :- Webform(W), CGI_Script(S).","can_use(A, W) :- Author(A), Webform(W). can_use(R, W) :- Reviewer(R), Webform(W).",Author
"When displaying a review, the date and time of the last update of the review is shown as extra check.",User(U).,Review(R).,"has_last_update(R, DateTime) :- Review(R), DateTime(DT).","can_display_review(U, R) :- User(U), Review(R), has_last_update(R, DateTime).",User
The authors may make corrections or changes to the  information that was submitted in step 1.,"Author(A), Information(I).",Information(I).,"submitted_in_step1(A, I) :- Author(A), Information(I).","can_modify(A, I) :- Author(A), Information(I), submitted_in_step1(A, I).",(Author ∧ <submitted_in_step1>((Information ∧ owner)))
"CyberChair collects abstracts, papers and reviews and can therefore be regarded as a system that provides a shared workspace.","User(U), System(S).","Abstract(A), Paper(P), Review(R).","has_access(U, A) :- User(U), Abstract(A). has_access(U, P) :- User(U), Paper(P). has_access(U, R) :- User(U), Review(R).","can_access_workspace(U, S) :- User(U), System(S), has_access(U, A), has_access(U, P), has_access(U, R).",(User ∧ <has_access>(T) ∧ <has_access>(T) ∧ <has_access>(T))
Reviews can be updated.,User(U).,Review(R).,"has_review(U, R) :- User(U), Review(R).","can_update(U, R) :- User(U), Review(R), has_review(U, R).",(User ∧ <has_review>((Review ∧ owner)))
"To enter the review process, authors must send their paper to the Program Committee Chair (PCC).",Author(A).,Paper(P).,"is_author_of(A, P) :- Author(A), Paper(P).","can_enter_review_process(A, P) :- Author(A), Paper(P), is_author_of(A, P), sent_to_pcc(A, P).",(Author ∧ <is_author_of>((Paper ∧ owner)) ∧ <sent_to_pcc>((Paper ∧ owner)))
"This way, the reviewer can always look at the latest version of the reviews.",Reviewer(R).,Review(Rev).,"has_access(R, Rev) :- Reviewer(R), Review(Rev).","can_view(R, Rev) :- Reviewer(R), Review(Rev), has_access(R, Rev).",(Reviewer ∧ <has_access>((Review ∧ owner)))
"If this is the case, then the reviews of the other reviewers for this paper are copied into the reviewer’s directory.","Reviewer(R), Paper(P).","Review(Rev), Directory(Dir).","has_review(P, R, Rev) :- Paper(P), Reviewer(R), Review(Rev). assigned_to(R, P) :- Reviewer(R), Paper(P). has_directory(R, Dir) :- Reviewer(R), Directory(Dir).","can_copy_reviews(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P), has_directory(R, Dir), has_review(P, OtherR, Rev), Reviewer(OtherR), OtherR != R, not has_review_in_directory(R, Rev, Dir). has_review_in_directory(R, Rev, Dir) :- Reviewer(R), Review(Rev), Directory(Dir).",(Reviewer ∧ <assigned_to>((Paper ∧ owner)) ∧ <has_directory>(T))
"Reviewers can browse the overviews by conference topic, to quickly identify the papers that match their interest  and expertise (Figure 3).",Reviewer(R).,"Paper(P), ConferenceTopic(T).","has_interest(R, T) :- Reviewer(R), ConferenceTopic(T). has_expertise(R, T) :- Reviewer(R), ConferenceTopic(T). matches_topic(P, T) :- Paper(P), ConferenceTopic(T).","can_browse(R, P, T) :- Reviewer(R), Paper(P), ConferenceTopic(T), has_interest(R, T), has_expertise(R, T), matches_topic(P, T).",(Reviewer ∧ <has_interest>((ConferenceTopic ∧ <-matches_topic>((Paper ∧ owner)))) ∧ <has_expertise>((ConferenceTopic ∧ <-matches_topic>((Paper ∧ owner)))))
The highest and lowest classification given to a paper are taken into account.,"Reviewer(R), Paper(P).",Classification(C).,"has_classification(P, C) :- Paper(P), Classification(C).","can_assess(R, P) :- Reviewer(R), Paper(P), has_classification(P, C), highest_classification(P, C), lowest_classification(P, C).",Reviewer
"The submission form in phase 2 is the same as the submission form in phase 1, except that authors must use it to upload their full paper file.","Author(A), SubmissionForm(F1), SubmissionForm(F2).",FullPaperFile(PF).,"is_phase1_form(F1) :- SubmissionForm(F1). is_phase2_form(F2) :- SubmissionForm(F2). same_form(F1, F2) :- is_phase1_form(F1), is_phase2_form(F2). can_upload(A, F2, PF) :- Author(A), is_phase2_form(F2), FullPaperFile(PF).","must_upload(A, F2, PF) :- Author(A), is_phase2_form(F2), FullPaperFile(PF), can_upload(A, F2, PF).",Author
"After clicking on a paper number several hyperlinks are generated to allow the paper to be downloaded, to display the abstract and to submit or update a review.","User(U), Paper(P).",Hyperlink(H).,"has_access(U, P) :- User(U), Paper(P).","can_generate_hyperlink(U, P, H) :- User(U), Paper(P), Hyperlink(H), has_access(U, P).",(User ∧ <has_access>((Paper ∧ owner)))
Papers that have not received enough bids should be assigned based on the expertise of the reviewers.,Reviewer(R).,Paper(P).,"has_expertise(R, P) :- Reviewer(R), Paper(P).","assign_paper(R, P) :- Reviewer(R), Paper(P), not enough_bids(P), has_expertise(R, P).",(Reviewer ∧ <has_expertise>((Paper ∧ ¬enough_bids ∧ owner)))
"Each reviewer gets a personal, password-protected webpage, that contains links to the papers (s)he is assigned to review, so they can be downloaded.",Reviewer(R).,"Webpage(W), Paper(P).","has_webpage(R, W) :- Reviewer(R), Webpage(W). assigned_to(R, P) :- Reviewer(R), Paper(P). contains_link(W, P) :- Webpage(W), Paper(P).","can_access(R, W) :- Reviewer(R), Webpage(W), has_webpage(R, W). can_download(R, P) :- Reviewer(R), Paper(P), assigned_to(R, P), contains_link(W, P), has_webpage(R, W).",Reviewer
"If the publisher allows electronic versions, the maintainer should send or upload the proceedings, for further preparation by the publisher.","Maintainer(M), Publisher(Pub).",Proceedings(Proc).,allows_electronic(Pub) :- Publisher(Pub).,"can_send_or_upload(M, Pub, Proc) :- Maintainer(M), Publisher(Pub), Proceedings(Proc), allows_electronic(Pub).",Maintainer
"After the paper distribution, CyberChair generates a personal, password-protected webpage for each reviewer.","Reviewer(R), System(CyberChair).",Webpage(W).,"has_webpage(R, W) :- Reviewer(R), Webpage(W).","can_generate(CyberChair, R, W) :- System(CyberChair), Reviewer(R), Webpage(W).",System
CyberChair provides web pages for the reviewers to indicate their preference for papers they would like to review.,Reviewer(R).,Paper(P).,"has_preference(R, P) :- Reviewer(R), Paper(P).","can_indicate_preference(R, P) :- Reviewer(R), Paper(P).",Reviewer
"Papers are classified, using the highest and the lowest classification given by the reviewers (A to D), as described in the paper mentioned above.","Paper(P), Reviewer(R).",Classification(C).,"reviewed_by(P, R) :- Paper(P), Reviewer(R).
gives_classification(R, P, C) :- Reviewer(R), Paper(P), Classification(C).
highest_classification(P, C) :- Paper(P), Classification(C), gives_classification(R, P, C), not exists C2 (gives_classification(R2, P, C2), C2 > C).
lowest_classification(P, C) :- Paper(P), Classification(C), gives_classification(R, P, C), not exists C2 (gives_classification(R2, P, C2), C2 < C).","classify_paper(P, C_high, C_low) :- Paper(P), highest_classification(P, C_high), lowest_classification(P, C_low).",(Paper ∧ <highest_classification>(owner) ∧ <lowest_classification>(T))
The maintainer should make sure that enough disk space is available to store the papers.,Maintainer(M).,"Disk(D), Paper(P).","has_disk_space(D, P) :- Disk(D), Paper(P).","can_store(M, D, P) :- Maintainer(M), Disk(D), Paper(P), has_disk_space(D, P).",Maintainer
"In addition, the reviewers must indicate their overall expertise on the topics that a paper covers.",Reviewer(R).,"Paper(P), Topic(T).","covers(P, T) :- Paper(P), Topic(T). has_expertise(R, T) :- Reviewer(R), Topic(T).","must_indicate_expertise(R, P) :- Reviewer(R), Paper(P), covers(P, T), has_expertise(R, T).",(Reviewer ∧ <has_expertise>(<-covers>((Paper ∧ owner))))
"In case conflicting reviews exist, the reviewers can use the hyperlink that enables easy communication to the other reviewers by email.","Reviewer(R1), Reviewer(R2).","Review(REV), HyperLink(HL).",has_conflict(REV) :- Review(REV).,"can_use_hyperlink(R1, HL) :- Reviewer(R1), HyperLink(HL), has_conflict(REV), Review(REV).",Reviewer
"When the level of agreement differs too much, the reviewers and chair may give it special attention, even before the PC meeting takes place.","Reviewer(R), Chair(C).",Submission(S).,"has_agreement_level(S, L) :- Submission(S), Level(L).","can_give_special_attention(R, C, S) :- Reviewer(R), Chair(C), Submission(S), has_agreement_level(S, L1), has_agreement_level(S, L2), L1 != L2, threshold_exceeded(L1, L2).",Reviewer
CyberChair supports PCs by using these patterns in its implementation.,"CyberChair(C), PC(P).",Pattern(PT).,"supports(C, P) :- CyberChair(C), PC(P).","can_use_pattern(C, P, PT) :- CyberChair(C), PC(P), Pattern(PT), supports(C, P).",(CyberChair ∧ <supports>((PC ∧ owner)))
"The current version of CyberChair supports all phases of the review process, including preparation of the proceedings in the electronic format prescribed by the publisher.","User(U), Publisher(Pub).","CyberChairVersion(CV), ReviewProcessPhase(RPP), Proceedings(Proc), ElectronicFormat(EF).","supports(CV, RPP) :- CyberChairVersion(CV), ReviewProcessPhase(RPP). supports(CV, Proc) :- CyberChairVersion(CV), Proceedings(Proc). prescribed_format(Pub, EF) :- Publisher(Pub), ElectronicFormat(EF).","can_access(U, CV, RPP) :- User(U), CyberChairVersion(CV), ReviewProcessPhase(RPP), supports(CV, RPP). can_access(U, CV, Proc) :- User(U), CyberChairVersion(CV), Proceedings(Proc), supports(CV, Proc), prescribed_format(Pub, EF).",User
Not all reviewers like to fill in review forms on-line.,Reviewer(R).,ReviewForm(F).,"likes_to_fill(R, F) :- Reviewer(R), ReviewForm(F).","can_fill_online(R, F) :- Reviewer(R), ReviewForm(F), likes_to_fill(R, F).",(Reviewer ∧ <likes_to_fill>((ReviewForm ∧ owner)))
"CyberChair significantly reduces the workload of the PC, by doing all necessary bookkeeping.",PC(P).,CyberChair(C).,"reduces_workload(C, P) :- CyberChair(C), PC(P).","can_use(C, P) :- CyberChair(C), PC(P), reduces_workload(C, P).",(CyberChair ∧ <reduces_workload>((PC ∧ owner)))
In The Information Lens  the authors focus on sharing information among a group of people to solve problems.,Person(P).,"Information(I), Problem(PR).","has_access(P, I) :- Person(P), Information(I).","can_share(P, I, PR) :- Person(P), Information(I), Problem(PR), has_access(P, I).",(Person ∧ <has_access>((Information ∧ owner)))
"Reviewer - Use the first and last name (in lowercase) as login and password, respectively.",Reviewer(R).,"Login(L), Password(PW).","has_login(R, L) :- Reviewer(R), Login(L), L = lowercase(first_name(R)). has_password(R, PW) :- Reviewer(R), Password(PW), PW = lowercase(last_name(R)).","can_access(R, L, PW) :- Reviewer(R), Login(L), Password(PW), has_login(R, L), has_password(R, PW).",(Reviewer ∧ <has_login>((Login ∧ owner)) ∧ <has_password>(Password))
CyberChair points out conflicting reviews,"Reviewer(R), CyberChair(C).",Review(REV).,"conflicting_reviews(REV1, REV2) :- Review(REV1), Review(REV2), REV1 != REV2.","points_out(C, REV1, REV2) :- CyberChair(C), Review(REV1), Review(REV2), conflicting_reviews(REV1, REV2).",CyberChair
CyberChair offers the reviewers means to easily communicate to solve these conflicts.,Reviewer(R).,Conflict(C).,"has_conflict(R, C) :- Reviewer(R), Conflict(C).","can_communicate(R, C) :- Reviewer(R), Conflict(C), has_conflict(R, C).",(Reviewer ∧ <has_conflict>((Conflict ∧ owner)))
CyberChair assigns a unique identification to the submission and,"CyberChair(C), User(U).",Submission(S).,"has_submission(U, S) :- User(U), Submission(S).","assign_id(C, S) :- CyberChair(C), Submission(S).",CyberChair
CyberChair sends a login and password combination for step 2 to the contact person’s email address.,"CyberChair(C), ContactPerson(P).","LoginPassword(LP), EmailAddress(E).","has_email(P, E) :- ContactPerson(P), EmailAddress(E).","can_send(C, P, LP, E) :- CyberChair(C), ContactPerson(P), LoginPassword(LP), EmailAddress(E), has_email(P, E).",CyberChair
Other scripts are so-called administrative scripts which are started by the maintainer.,Maintainer(M).,Script(S).,"administrative_script(S) :- Script(S). started_by(S, M) :- Script(S), Maintainer(M).","can_start(M, S) :- Maintainer(M), Script(S), administrative_script(S), started_by(S, M).",(Maintainer ∧ <-started_by>((Script ∧ administrative_script ∧ owner)))
Other scripts are so-called administrative scripts which are started automatically at regular intervals by the system (e.g. crontab on Unix systems).,"System(S), Script(SC).",Interval(I).,"is_administrative(SC) :- Script(SC).
started_at_interval(S, SC, I) :- System(S), Script(SC), Interval(I).","can_start_automatically(S, SC, I) :- System(S), Script(SC), Interval(I), is_administrative(SC), started_at_interval(S, SC, I).",System
"After submission of a review, reviewers will be able to read the other reviewers' reviews.",Reviewer(R).,Review(REV).,"submitted_review(R, REV) :- Reviewer(R), Review(REV).","can_read(R, REV) :- Reviewer(R), Review(REV), submitted_review(R, _), not same_reviewer(R, REV). same_reviewer(R, REV) :- Reviewer(R), Review(REV), submitted_review(R, REV).",(Reviewer ∧ <submitted_review>(T))
"After submission of a review, reviewers will be able to prepare for the PC meeting.",Reviewer(R).,"Review(REV), Meeting(M).",submitted(REV) :- Review(REV).,"can_prepare_for_meeting(R, M) :- Reviewer(R), Meeting(M), Review(REV), submitted(REV).",Reviewer
You can submit reviews.,User(U).,Review(R).,"can_submit(U, R) :- User(U), Review(R).","submit_review(U, R) :- User(U), Review(R), can_submit(U, R).",(User ∧ <can_submit>((Review ∧ owner)))
You can find out what happens.,User(U).,Event(E).,"can_access(U, E) :- User(U), Event(E).","can_find_out(U, E) :- User(U), Event(E), can_access(U, E).",(User ∧ <can_access>((Event ∧ owner)))
"When a reviewer has submitted all his reviews and has time to review more papers, he may look at the overview containing all papers.",Reviewer(R).,Paper(P).,"assigned_to(R, P) :- Reviewer(R), Paper(P).
submitted_review(R, P) :- Reviewer(R), Paper(P).
has_time(R) :- Reviewer(R).","can_view_overview(R) :- Reviewer(R), not exists P (assigned_to(R, P) and not submitted_review(R, P)), has_time(R).",(Reviewer ∧ has_time)
"When a reviewer has submitted all his reviews and has time to review more papers, he may select papers for which conflicting reviews exist.",Reviewer(R).,Paper(P).,has_submitted_all_reviews(R) :- Reviewer(R). has_time_to_review_more(R) :- Reviewer(R). has_conflicting_reviews(P) :- Paper(P).,"can_select(R, P) :- Reviewer(R), Paper(P), has_submitted_all_reviews(R), has_time_to_review_more(R), has_conflicting_reviews(P).",(Reviewer ∧ has_submitted_all_reviews ∧ has_time_to_review_more)
The table of contents and author index of the proceedings are generated by CyberChair for electronic delivery to the publisher.,"CyberChair(C), Publisher(P).","TableOfContents(TOC), AuthorIndex(AI), Proceedings(PR).","generates(C, TOC) :- CyberChair(C), TableOfContents(TOC). generates(C, AI) :- CyberChair(C), AuthorIndex(AI). part_of(TOC, PR) :- TableOfContents(TOC), Proceedings(PR). part_of(AI, PR) :- AuthorIndex(AI), Proceedings(PR).","can_deliver(C, P, TOC, AI) :- CyberChair(C), Publisher(P), TableOfContents(TOC), AuthorIndex(AI), generates(C, TOC), generates(C, AI).",(CyberChair ∧ <generates>(TableOfContents) ∧ <generates>(AuthorIndex))
The camera-ready papers are prepared for electronic delivery to the publisher.,"Author(A), Publisher(PUB).",Paper(PA).,"has_paper(A, PA) :- Author(A), Paper(PA).","can_deliver(A, PUB, PA) :- Author(A), Publisher(PUB), Paper(PA), has_paper(A, PA).",(Author ∧ <has_paper>(Paper))
CyberChair can handle the paper distribution.,CyberChair(C).,Paper(P).,"handles_distribution(C, P) :- CyberChair(C), Paper(P).","can_handle(C, P) :- CyberChair(C), Paper(P), handles_distribution(C, P).",(CyberChair ∧ <handles_distribution>((Paper ∧ owner)))
CyberChair collects and categorizes all reviews.,CyberChair(C).,Review(R).,"collects(C, R) :- CyberChair(C), Review(R). categorizes(C, R) :- CyberChair(C), Review(R).","can_collect(C, R) :- CyberChair(C), Review(R). can_categorize(C, R) :- CyberChair(C), Review(R).",CyberChair
CyberChair prepares overviews of reviews which can be used during the PC meeting.,"CyberChair(C), PC_Member(P).","Review(R), Overview(O).","has_review(R) :- Review(R). prepares_overview(C, O) :- CyberChair(C), Overview(O). can_use(P, O) :- PC_Member(P), Overview(O).","can_prepare_overview(C, O) :- CyberChair(C), Overview(O). can_access_overview(P, O) :- PC_Member(P), Overview(O), prepares_overview(C, O).",CyberChair
CyberChair checks the review forms for correctness.,CyberChair(C).,ReviewForm(R).,is_correct(R) :- ReviewForm(R).,"can_check(C, R) :- CyberChair(C), ReviewForm(R), is_correct(R).",CyberChair
"Further, the maintainer may need to convert submitted papers to other formats.",Maintainer(M).,Paper(P).,submitted_paper(P) :- Paper(P).,"can_convert(M, P) :- Maintainer(M), Paper(P), submitted_paper(P).",Maintainer
"Further, the maintainer may need to ask the authors to submit the paper in another format.","Maintainer(M), Author(A).",Paper(P).,"submitted_by(P, A) :- Paper(P), Author(A).","can_ask_to_submit(M, A, P) :- Maintainer(M), Author(A), Paper(P), submitted_by(P, A).",Maintainer
The PCC sends the papers and review forms to the reviewers.,PCC(PCC).,"Paper(PA), ReviewForm(RF), Reviewer(R).","sends_to(PCC, PA, RF, R) :- PCC(PCC), Paper(PA), ReviewForm(RF), Reviewer(R).","can_send(PCC, PA, RF, R) :- PCC(PCC), Paper(PA), ReviewForm(RF), Reviewer(R).",PCC
Reviewers must fill in the review forms.,Reviewer(R).,ReviewForm(F).,"assigned_to(R, F) :- Reviewer(R), ReviewForm(F).","can_fill(R, F) :- Reviewer(R), ReviewForm(F), assigned_to(R, F).",(Reviewer ∧ <assigned_to>((ReviewForm ∧ owner)))
Reviewers must send review forms to the PCC.,Reviewer(R).,"ReviewForm(F), PCC(P).","has_form(R, F) :- Reviewer(R), ReviewForm(F).","can_send(R, F, P) :- Reviewer(R), ReviewForm(F), PCC(P), has_form(R, F).",(Reviewer ∧ <has_form>((ReviewForm ∧ owner)))
CyberChair deals with most administrative tasks that are involved in the review process.,CyberChair(C).,"AdministrativeTask(T), ReviewProcess(R).","involved_in(T, R) :- AdministrativeTask(T), ReviewProcess(R).","deals_with(C, T) :- CyberChair(C), AdministrativeTask(T), involved_in(T, R).",CyberChair
"CyberChair stores author information, abstracts, (camera-ready) papers and reviews.","Author(A), Reviewer(R), System(S).","Abstract(AB), Paper(P), Review(RE).","has_author(P, A) :- Paper(P), Author(A). has_abstract(P, AB) :- Paper(P), Abstract(AB). has_review(P, RE) :- Paper(P), Review(RE). stores(S, A) :- System(S), Author(A). stores(S, AB) :- System(S), Abstract(AB). stores(S, P) :- System(S), Paper(P). stores(S, RE) :- System(S), Review(RE).","can_access(S, A) :- System(S), Author(A), stores(S, A). can_access(S, AB) :- System(S), Abstract(AB), stores(S, AB). can_access(S, P) :- System(S), Paper(P), stores(S, P). can_access(S, RE) :- System(S), Review(RE), stores(S, RE).",System
"If there are still not enough reviewers for the paper, the expertise level of reviewers of all topics the paper covers is calculated.","Reviewer(R), Paper(P).",Topic(T).,"covers(P, T) :- Paper(P), Topic(T). has_expertise(R, T, Level) :- Reviewer(R), Topic(T), Level(Level).","calculate_expertise(P, R, Level) :- Paper(P), Reviewer(R), covers(P, T), has_expertise(R, T, Level), not enough_reviewers(P).",(Paper ∧ ¬enough_reviewers ∧ <covers>(T))
"If there are still not enough reviewers for the paper, the paper is assigned to the reviewers with the highest overall expertise.",Reviewer(R).,Paper(P).,"has_expertise(R, E) :- Reviewer(R), Expertise(E).","assign_paper(P, R) :- Paper(P), Reviewer(R), not enough_reviewers(P), highest_expertise(R).
enough_reviewers(P) :- Paper(P), count_reviewers(P, N), N >= required_reviewers(P).
highest_expertise(R) :- Reviewer(R), has_expertise(R, E), not exists(R2, Reviewer(R2), has_expertise(R2, E2), E2 > E).",(Paper ∧ ¬enough_reviewers)
"The authors of accepted papers may submit a brushed-up version of their paper, in so-called camera-ready format to the PCC.","Author(A), Paper(P).",PCC.,"is_author_of(A, P) :- Author(A), Paper(P). is_accepted(P) :- Paper(P).","can_submit(A, P, PCC) :- Author(A), Paper(P), is_author_of(A, P), is_accepted(P).",(Author ∧ <is_author_of>((Paper ∧ is_accepted ∧ owner)))
"PCC will send camera-ready format, together with the preface and the table of contents to the publisher to have the proceedings printed.",PCC(PCC).,"CameraReadyFormat(CRF), Preface(PF), TableOfContents(TOC), Publisher(PUB), Proceedings(PR).","has_camera_ready_format(PCC, CRF) :- PCC(PCC), CameraReadyFormat(CRF). has_preface(PCC, PF) :- PCC(PCC), Preface(PF). has_table_of_contents(PCC, TOC) :- PCC(PCC), TableOfContents(TOC). can_print(PUB, PR) :- Publisher(PUB), Proceedings(PR).","can_send(PCC, PUB, CRF, PF, TOC) :- PCC(PCC), Publisher(PUB), CameraReadyFormat(CRF), Preface(PF), TableOfContents(TOC), has_camera_ready_format(PCC, CRF), has_preface(PCC, PF), has_table_of_contents(PCC, TOC).",(PCC ∧ <has_camera_ready_format>(CameraReadyFormat) ∧ <has_preface>(Preface) ∧ <has_table_of_contents>(TableOfContents))
CyberChair transforms review forms into a format that can be used for display in a browser.,CyberChair(C).,"ReviewForm(RF), BrowserFormat(BF).","transforms(C, RF, BF) :- CyberChair(C), ReviewForm(RF), BrowserFormat(BF).","can_display(C, RF, BF) :- CyberChair(C), ReviewForm(RF), BrowserFormat(BF), transforms(C, RF, BF).",CyberChair
